url,category,issue,type,details
https://truongvietanh.com,Accessibility,Images Without Alt Text,warning,16 of 20 images lack alt text
https://truongvietanh.com,Technical,Canonical URL Different,warning,Canonical points to: https://truongvietanh.com/
https://truongvietanh.com/%e2%9c%88du-lich-han-quoc-re-nhu-chuyen-di-trong-nuoc-ban-co-tin-khong/,Accessibility,Images Without Alt Text,warning,16 of 20 images lack alt text
https://truongvietanh.com/%e2%9c%88du-lich-han-quoc-re-nhu-chuyen-di-trong-nuoc-ban-co-tin-khong/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/%e2%9c%88du-lich-han-quoc-re-nhu-chuyen-di-trong-nuoc-ban-co-tin-khong/,SEO,Title Too Long,warning,Title is 96 characters (recommended: ≤60)
https://truongvietanh.com/%e2%9c%88du-lich-han-quoc-re-nhu-chuyen-di-trong-nuoc-ban-co-tin-khong/,Technical,Canonical URL Different,warning,Canonical points to: https://truongvietanh.com/✈du-lich-han-quoc-re-nhu-chuyen-di-trong-nuoc-ban-co-tin-khong/
https://truongvietanh.com/%f0%9f%8f%86%f0%9f%8f%86%f0%9f%8f%86-niem-vui-lon-cua-thay-va-tro-truong-viet-anh/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/%f0%9f%8f%86%f0%9f%8f%86%f0%9f%8f%86-niem-vui-lon-cua-thay-va-tro-truong-viet-anh/,Performance,Moderate Response Time,warning,Page took 2086.06ms to respond (recommended: <1000ms)
https://truongvietanh.com/%f0%9f%8f%86%f0%9f%8f%86%f0%9f%8f%86-niem-vui-lon-cua-thay-va-tro-truong-viet-anh/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/%f0%9f%8f%86%f0%9f%8f%86%f0%9f%8f%86-niem-vui-lon-cua-thay-va-tro-truong-viet-anh/,SEO,Title Too Long,warning,Title is 79 characters (recommended: ≤60)
https://truongvietanh.com/%f0%9f%8f%86%f0%9f%8f%86%f0%9f%8f%86-niem-vui-lon-cua-thay-va-tro-truong-viet-anh/,Technical,Canonical URL Different,warning,Canonical points to: https://truongvietanh.com/🏆🏆🏆-niem-vui-lon-cua-thay-va-tro-truong-viet-anh/
https://truongvietanh.com/%f0%9f%8f%86%f0%9f%8f%86%f0%9f%8f%862019-danh-dau-nam-day-ap-thanh-cong-hoc-sinh-viet-anh/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/%f0%9f%8f%86%f0%9f%8f%86%f0%9f%8f%862019-danh-dau-nam-day-ap-thanh-cong-hoc-sinh-viet-anh/,Performance,Moderate Response Time,warning,Page took 1608.2ms to respond (recommended: <1000ms)
https://truongvietanh.com/%f0%9f%8f%86%f0%9f%8f%86%f0%9f%8f%862019-danh-dau-nam-day-ap-thanh-cong-hoc-sinh-viet-anh/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/%f0%9f%8f%86%f0%9f%8f%86%f0%9f%8f%862019-danh-dau-nam-day-ap-thanh-cong-hoc-sinh-viet-anh/,SEO,Title Too Long,warning,Title is 91 characters (recommended: ≤60)
https://truongvietanh.com/%f0%9f%8f%86%f0%9f%8f%86%f0%9f%8f%862019-danh-dau-nam-day-ap-thanh-cong-hoc-sinh-viet-anh/,Technical,Canonical URL Different,warning,Canonical points to: https://truongvietanh.com/🏆🏆🏆2019-danh-dau-nam-day-ap-thanh-cong-hoc-sinh-viet-anh/
https://truongvietanh.com/%f0%9f%8f%86-chuc-mung-cao-thu-ielts-truong-viet-anh-%f0%9f%8f%86/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/%f0%9f%8f%86-chuc-mung-cao-thu-ielts-truong-viet-anh-%f0%9f%8f%86/,Performance,Moderate Response Time,warning,Page took 1804.51ms to respond (recommended: <1000ms)
https://truongvietanh.com/%f0%9f%8f%86-chuc-mung-cao-thu-ielts-truong-viet-anh-%f0%9f%8f%86/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/%f0%9f%8f%86-chuc-mung-cao-thu-ielts-truong-viet-anh-%f0%9f%8f%86/,SEO,Title Too Long,warning,Title is 76 characters (recommended: ≤60)
https://truongvietanh.com/%f0%9f%8f%86-chuc-mung-cao-thu-ielts-truong-viet-anh-%f0%9f%8f%86/,Technical,Canonical URL Different,warning,Canonical points to: https://truongvietanh.com/🏆-chuc-mung-cao-thu-ielts-truong-viet-anh-🏆/
https://truongvietanh.com/%f0%9f%8f%94%e2%9c%88-chan-cho-gi-khi-thanh-xuan-sap-qua-lap-team-di-ngay-tour-sapa-lao-cai-ha-noi-3-ngay-3-dem/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/%f0%9f%8f%94%e2%9c%88-chan-cho-gi-khi-thanh-xuan-sap-qua-lap-team-di-ngay-tour-sapa-lao-cai-ha-noi-3-ngay-3-dem/,Performance,Moderate Response Time,warning,Page took 1561.63ms to respond (recommended: <1000ms)
https://truongvietanh.com/%f0%9f%8f%94%e2%9c%88-chan-cho-gi-khi-thanh-xuan-sap-qua-lap-team-di-ngay-tour-sapa-lao-cai-ha-noi-3-ngay-3-dem/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/%f0%9f%8f%94%e2%9c%88-chan-cho-gi-khi-thanh-xuan-sap-qua-lap-team-di-ngay-tour-sapa-lao-cai-ha-noi-3-ngay-3-dem/,SEO,Title Too Long,warning,Title is 133 characters (recommended: ≤60)
https://truongvietanh.com/%f0%9f%8f%94%e2%9c%88-chan-cho-gi-khi-thanh-xuan-sap-qua-lap-team-di-ngay-tour-sapa-lao-cai-ha-noi-3-ngay-3-dem/,Technical,Canonical URL Different,warning,Canonical points to: https://truongvietanh.com/🏔✈-chan-cho-gi-khi-thanh-xuan-sap-qua-lap-team-di-ngay-tour-sapa-lao-cai-ha-noi-3-ngay-3-dem/
https://truongvietanh.com/%f0%9f%93%a2-su-kien-thang-8-khong-the-bo-lo-music-talshow-2018/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/%f0%9f%93%a2-su-kien-thang-8-khong-the-bo-lo-music-talshow-2018/,Performance,Moderate Response Time,warning,Page took 1164.58ms to respond (recommended: <1000ms)
https://truongvietanh.com/%f0%9f%93%a2-su-kien-thang-8-khong-the-bo-lo-music-talshow-2018/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/%f0%9f%93%a2-su-kien-thang-8-khong-the-bo-lo-music-talshow-2018/,SEO,Title Too Long,warning,Title is 90 characters (recommended: ≤60)
https://truongvietanh.com/%f0%9f%93%a2-su-kien-thang-8-khong-the-bo-lo-music-talshow-2018/,Technical,Canonical URL Different,warning,Canonical points to: https://truongvietanh.com/📢-su-kien-thang-8-khong-the-bo-lo-music-talshow-2018/
https://truongvietanh.com/%f0%9f%94%91-%f0%9f%92%a1-hoi-thao-first-step-to-the-future/,Accessibility,Images Without Alt Text,warning,16 of 20 images lack alt text
https://truongvietanh.com/%f0%9f%94%91-%f0%9f%92%a1-hoi-thao-first-step-to-the-future/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/%f0%9f%94%91-%f0%9f%92%a1-hoi-thao-first-step-to-the-future/,SEO,Title Too Long,warning,Title is 70 characters (recommended: ≤60)
https://truongvietanh.com/%f0%9f%94%91-%f0%9f%92%a1-hoi-thao-first-step-to-the-future/,Technical,Canonical URL Different,warning,Canonical points to: https://truongvietanh.com/🔑-💡-hoi-thao-first-step-to-the-future/
https://truongvietanh.com/10-bi-mat-cua-nguoi-noi-tieng-anh-thanh-cong/,Accessibility,Images Without Alt Text,warning,16 of 20 images lack alt text
https://truongvietanh.com/10-bi-mat-cua-nguoi-noi-tieng-anh-thanh-cong/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/10-bi-mat-cua-nguoi-noi-tieng-anh-thanh-cong/,SEO,Title Too Long,warning,Title is 75 characters (recommended: ≤60)
https://truongvietanh.com/10-cach-ren-luyen-tri-nao-thong-minh-hon/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/10-cach-ren-luyen-tri-nao-thong-minh-hon/,SEO,Meta Description Too Long,warning,Description is 167 characters (recommended: ≤160)
https://truongvietanh.com/10-cach-xay-dung-thuong-hieu-ca-nhan/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/10-cach-xay-dung-thuong-hieu-ca-nhan/,Performance,Moderate Response Time,warning,Page took 1113.89ms to respond (recommended: <1000ms)
https://truongvietanh.com/10-cach-xay-dung-thuong-hieu-ca-nhan/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/10-cach-xay-dung-thuong-hieu-ca-nhan/,SEO,Title Too Long,warning,Title is 67 characters (recommended: ≤60)
https://truongvietanh.com/10-dai-hoc-dao-tao-tai-chinh-tot-nhat-the-gioi/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/10-dai-hoc-dao-tao-tai-chinh-tot-nhat-the-gioi/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/10-dai-hoc-dao-tao-tai-chinh-tot-nhat-the-gioi/,SEO,Title Too Long,warning,Title is 77 characters (recommended: ≤60)
https://truongvietanh.com/10-dai-hoc-hang-dau-chau-a/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/10-dai-hoc-hang-dau-chau-a/,Performance,Moderate Response Time,warning,Page took 1615.94ms to respond (recommended: <1000ms)
https://truongvietanh.com/10-dai-hoc-hang-dau-chau-a/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/10-dai-hoc-my-co-chuong-trinh-thuc-tap-hap-dan/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/10-dai-hoc-my-co-chuong-trinh-thuc-tap-hap-dan/,Performance,Moderate Response Time,warning,Page took 1671.21ms to respond (recommended: <1000ms)
https://truongvietanh.com/10-dai-hoc-my-co-chuong-trinh-thuc-tap-hap-dan/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/10-dai-hoc-my-co-chuong-trinh-thuc-tap-hap-dan/,SEO,Title Too Long,warning,Title is 77 characters (recommended: ≤60)
https://truongvietanh.com/10-dieu-can-biet-khi-du-hoc-nga/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/10-dieu-can-biet-khi-du-hoc-nga/,Performance,Moderate Response Time,warning,Page took 1465.93ms to respond (recommended: <1000ms)
https://truongvietanh.com/10-dieu-can-biet-khi-du-hoc-nga/,SEO,Meta Description Too Long,warning,Description is 267 characters (recommended: ≤160)
https://truongvietanh.com/10-dieu-can-luu-y-khi-du-hoc-tai-anh/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/10-dieu-can-luu-y-khi-du-hoc-tai-anh/,SEO,Meta Description Too Long,warning,Description is 235 characters (recommended: ≤160)
https://truongvietanh.com/10-dieu-quan-trong-khi-xin-visa-du-hoc-my/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/10-dieu-quan-trong-khi-xin-visa-du-hoc-my/,Performance,Moderate Response Time,warning,Page took 1799.9ms to respond (recommended: <1000ms)
https://truongvietanh.com/10-dieu-quan-trong-khi-xin-visa-du-hoc-my/,SEO,Meta Description Too Long,warning,Description is 222 characters (recommended: ≤160)
https://truongvietanh.com/10-dieu-thu-vi-ve-dai-hoc-harvard/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/10-dieu-thu-vi-ve-dai-hoc-harvard/,Performance,Moderate Response Time,warning,Page took 1486.7ms to respond (recommended: <1000ms)
https://truongvietanh.com/10-dieu-thu-vi-ve-dai-hoc-harvard/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/10-dieu-thu-vi-ve-dai-hoc-harvard/,SEO,Title Too Long,warning,Title is 64 characters (recommended: ≤60)
https://truongvietanh.com/10-dieu-thu-vi-ve-giao-duc-dai-hoc-o-trung-quoc/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/10-dieu-thu-vi-ve-giao-duc-dai-hoc-o-trung-quoc/,Performance,Moderate Response Time,warning,Page took 2014.91ms to respond (recommended: <1000ms)
https://truongvietanh.com/10-dieu-thu-vi-ve-giao-duc-dai-hoc-o-trung-quoc/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/10-dieu-thu-vi-ve-giao-duc-dai-hoc-o-trung-quoc/,SEO,Title Too Long,warning,Title is 78 characters (recommended: ≤60)
https://truongvietanh.com/10-hoc-bong-hang-dau-the-gioi-cho-du-hoc-sinh/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/10-hoc-bong-hang-dau-the-gioi-cho-du-hoc-sinh/,SEO,Meta Description Too Long,warning,Description is 253 characters (recommended: ≤160)
https://truongvietanh.com/10-loi-ich-thiet-thuc-khi-ban-di-du-hoc/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/10-loi-ich-thiet-thuc-khi-ban-di-du-hoc/,Performance,Moderate Response Time,warning,Page took 1735.24ms to respond (recommended: <1000ms)
https://truongvietanh.com/10-loi-ich-thiet-thuc-khi-ban-di-du-hoc/,SEO,Meta Description Too Long,warning,Description is 238 characters (recommended: ≤160)
https://truongvietanh.com/10-ly-do-ban-nen-du-hoc-o-chau-au/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/10-ly-do-ban-nen-du-hoc-o-chau-au/,SEO,Meta Description Too Long,warning,Description is 216 characters (recommended: ≤160)
https://truongvietanh.com/10-ly-do-khien-ban-muon-di-du-hoc-uc/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/10-ly-do-khien-ban-muon-di-du-hoc-uc/,Performance,Moderate Response Time,warning,Page took 2015.98ms to respond (recommended: <1000ms)
https://truongvietanh.com/10-ly-do-khien-ban-muon-di-du-hoc-uc/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/10-ly-do-khien-ban-muon-di-du-hoc-uc/,SEO,Title Too Long,warning,Title is 67 characters (recommended: ≤60)
https://truongvietanh.com/10-ly-do-nen-du-hoc-o-chau-au/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/10-ly-do-nen-du-hoc-o-chau-au/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/10-ly-do-tai-sao-ban-hoc-tieng-anh/,Accessibility,Images Without Alt Text,warning,16 of 20 images lack alt text
https://truongvietanh.com/10-ly-do-tai-sao-ban-hoc-tieng-anh/,Performance,Moderate Response Time,warning,Page took 1944.81ms to respond (recommended: <1000ms)
https://truongvietanh.com/10-ly-do-tai-sao-ban-hoc-tieng-anh/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/10-ly-do-tai-sao-ban-hoc-tieng-anh/,SEO,Title Too Long,warning,Title is 66 characters (recommended: ≤60)
https://truongvietanh.com/10-ly-do-tai-sao-ban-nen-hoc-tieng-anh/,Accessibility,Images Without Alt Text,warning,16 of 20 images lack alt text
https://truongvietanh.com/10-ly-do-tai-sao-ban-nen-hoc-tieng-anh/,Performance,Moderate Response Time,warning,Page took 1581.7ms to respond (recommended: <1000ms)
https://truongvietanh.com/10-ly-do-tai-sao-ban-nen-hoc-tieng-anh/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/10-ly-do-tai-sao-ban-nen-hoc-tieng-anh/,SEO,Title Too Long,warning,Title is 71 characters (recommended: ≤60)
https://truongvietanh.com/10-ly-do-tai-sao-ban-nen-hoc-truong-noi-tru/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/10-ly-do-tai-sao-ban-nen-hoc-truong-noi-tru/,SEO,Meta Description Too Long,warning,Description is 244 characters (recommended: ≤160)
https://truongvietanh.com/10-suy-nghi-khien-ban-khong-duoc-hoc-bong/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/10-suy-nghi-khien-ban-khong-duoc-hoc-bong/,Performance,Moderate Response Time,warning,Page took 1899.26ms to respond (recommended: <1000ms)
https://truongvietanh.com/10-suy-nghi-khien-ban-khong-duoc-hoc-bong/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/10-suy-nghi-khien-ban-khong-duoc-hoc-bong/,SEO,Title Too Long,warning,Title is 72 characters (recommended: ≤60)
https://truongvietanh.com/10-truong-dai-hoc-hang-dau-an-do/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
