Campaign,Day,Start time,End time,Bid adjustment
Search_CanGiuoc_LionCamp2026,Monday,06:00,12:00,+0%
Search_CanGiuoc_LionCamp2026,Monday,12:00,17:00,+10%
Search_CanGiuoc_LionCamp2026,Monday,17:00,22:00,+20%
Search_CanGiuoc_LionCamp2026,Monday,22:00,23:00,+0%
Search_CanGiuoc_LionCamp2026,Tuesday,06:00,12:00,+0%
Search_CanGiuoc_LionCamp2026,Tuesday,12:00,17:00,+10%
Search_CanGiuoc_LionCamp2026,Tuesday,17:00,22:00,+20%
Search_CanGiuoc_LionCamp2026,Tuesday,22:00,23:00,+0%
Search_CanGiuoc_LionCamp2026,Wednesday,06:00,12:00,+0%
Search_CanGiuoc_LionCamp2026,Wednesday,12:00,17:00,+10%
Search_CanGiuoc_LionCamp2026,Wednesday,17:00,22:00,+20%
Search_CanGiuoc_LionCamp2026,Wednesday,22:00,23:00,+0%
Search_CanGiuoc_LionCamp2026,Thursday,06:00,12:00,+0%
Search_CanGiuoc_LionCamp2026,Thursday,12:00,17:00,+10%
Search_CanGiuoc_LionCamp2026,Thursday,17:00,22:00,+20%
Search_CanGiuoc_LionCamp2026,Thursday,22:00,23:00,+0%
Search_CanGiuoc_LionCamp2026,Friday,06:00,12:00,+0%
Search_CanGiuoc_LionCamp2026,Friday,12:00,17:00,+10%
Search_CanGiuoc_LionCamp2026,Friday,17:00,22:00,+20%
Search_CanGiuoc_LionCamp2026,Friday,22:00,23:00,+0%
Search_CanGiuoc_LionCamp2026,Saturday,06:00,12:00,+0%
Search_CanGiuoc_LionCamp2026,Saturday,12:00,17:00,+10%
Search_CanGiuoc_LionCamp2026,Saturday,17:00,22:00,+20%
Search_CanGiuoc_LionCamp2026,Saturday,22:00,23:00,+0%
Search_CanGiuoc_LionCamp2026,Sunday,06:00,12:00,+0%
Search_CanGiuoc_LionCamp2026,Sunday,12:00,17:00,+10%
Search_CanGiuoc_LionCamp2026,Sunday,17:00,22:00,+20%
Search_CanGiuoc_LionCamp2026,Sunday,22:00,23:00,+0%
Search_RachGia_LionCamp2026,Monday,06:00,12:00,+0%
Search_RachGia_LionCamp2026,Monday,12:00,17:00,+10%
Search_RachGia_LionCamp2026,Monday,17:00,22:00,+20%
Search_RachGia_LionCamp2026,Monday,22:00,23:00,+0%
Search_RachGia_LionCamp2026,Tuesday,06:00,12:00,+0%
Search_RachGia_LionCamp2026,Tuesday,12:00,17:00,+10%
Search_RachGia_LionCamp2026,Tuesday,17:00,22:00,+20%
Search_RachGia_LionCamp2026,Tuesday,22:00,23:00,+0%
Search_RachGia_LionCamp2026,Wednesday,06:00,12:00,+0%
Search_RachGia_LionCamp2026,Wednesday,12:00,17:00,+10%
Search_RachGia_LionCamp2026,Wednesday,17:00,22:00,+20%
Search_RachGia_LionCamp2026,Wednesday,22:00,23:00,+0%
Search_RachGia_LionCamp2026,Thursday,06:00,12:00,+0%
Search_RachGia_LionCamp2026,Thursday,12:00,17:00,+10%
Search_RachGia_LionCamp2026,Thursday,17:00,22:00,+20%
Search_RachGia_LionCamp2026,Thursday,22:00,23:00,+0%
Search_RachGia_LionCamp2026,Friday,06:00,12:00,+0%
Search_RachGia_LionCamp2026,Friday,12:00,17:00,+10%
Search_RachGia_LionCamp2026,Friday,17:00,22:00,+20%
Search_RachGia_LionCamp2026,Friday,22:00,23:00,+0%
Search_RachGia_LionCamp2026,Saturday,06:00,12:00,+0%
Search_RachGia_LionCamp2026,Saturday,12:00,17:00,+10%
Search_RachGia_LionCamp2026,Saturday,17:00,22:00,+20%
Search_RachGia_LionCamp2026,Saturday,22:00,23:00,+0%
Search_RachGia_LionCamp2026,Sunday,06:00,12:00,+0%
Search_RachGia_LionCamp2026,Sunday,12:00,17:00,+10%
Search_RachGia_LionCamp2026,Sunday,17:00,22:00,+20%
Search_RachGia_LionCamp2026,Sunday,22:00,23:00,+0%
