Campaign,Callout text,Device preference
Search_CanGiuoc_LionCamp2026,Bán Trú 2 Bữa Ngủ Trưa,
Search_CanGiuoc_LionCamp2026,Xe Đưa Đón Tận Nhà,
Search_CanGiuoc_LionCamp2026,Giáo Viên Bản Ngữ IELTS,
Search_CanGiuoc_LionCamp2026,Khai Giảng 15/06/2026,
Search_CanGiuoc_LionCamp2026,Ưu Đãi Early Bird 15%,
Search_CanGiuoc_LionCamp2026,Nhắn Zalo Tư Vấn Ngay,
Search_CanGiuoc_LionCamp2026,100% HS IELTS 6.0+,
Search_CanGiuoc_LionCamp2026,Hotline 0916 961 409,
Search_CanGiuoc_LionCamp2026,Cam Kết Hoàn Phí 100%,
Search_CanGiuoc_LionCamp2026,Top 15 Leader In Me 2023,
Search_RachGia_LionCamp2026,Bán Trú 2 Bữa Ngủ Trưa,
Search_RachGia_LionCamp2026,Xe Đưa Đón Tận Nhà,
Search_RachGia_LionCamp2026,Giáo Viên Bản Ngữ IELTS,
Search_RachGia_LionCamp2026,Khai Giảng 15/06/2026,
Search_RachGia_LionCamp2026,Ưu Đãi Early Bird 15%,
Search_RachGia_LionCamp2026,Nhắn Zalo Tư Vấn Ngay,
Search_RachGia_LionCamp2026,100% HS IELTS 6.0+,
Search_RachGia_LionCamp2026,Hotline 0916 961 409,
Search_RachGia_LionCamp2026,Cam Kết Hoàn Phí 100%,
Search_RachGia_LionCamp2026,Top 15 Leader In Me 2023,
