STT,URL,Loại file,Layout,Charset UTF-8,Lang vi,Title,Meta Description,Canonical URL,OG Tags,Schema.org,Vietnamese Font Subset,Lead Form/CTA,Đánh giá nội dung,Ghi chú
1,/,src/pages/index.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓ (3 schema),✓,✓ (2 CTA),Good,Homepage chính - 3658 từ - đầy đủ
2,/gioi-thieu,src/pages/gioi-thieu.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓ (4 schema),✓,✓ (3 CTA),Good,3546 từ - triết lý PDR - đầy đủ
3,/gioi-thieu2,src/pages/gioi-thieu2.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓ (3 schema),✓,✓ (3 CTA),Good,4685 từ - phiên bản mở rộng
4,/mam-non,src/pages/mam-non.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓ (3 schema),✓,✓ (3 CTA),Good,"5636+ từ - Montessori + 3 FAQ mới (xe đưa đón, hội nhập, chuẩn bị lớp 1)"
5,/tieu-hoc,src/pages/tieu-hoc.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓ (3 schema),✓,✓ (3 CTA),Good,"4529+ từ - song ngữ + 3 FAQ mới (STEM, cân bằng học-chơi, chuyển trường)"
6,/co-so,src/pages/co-so.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓ (3 schema),✓,✓ (3 CTA),Good,"4805+ từ - 9 cơ sở + 2 FAQ mới (mở rộng, an toàn trẻ nhỏ)"
7,/triet-ly-giao-duc,src/pages/triet-ly-giao-duc.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓ (3 schema),✓,✓ (3 CTA),Good,"4880+ từ - PDR + 2 FAQ mới (áp dụng cấp học, phụ huynh tham gia)"
8,/tuyen-sinh,src/pages/tuyen-sinh.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓ (2 schema),✓,✓ (3 CTA),Good,"5250+ từ - timeline + 2 FAQ mới (thời gian xử lý, chuyển trường)"
9,/cap-hoc,src/pages/cap-hoc.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓ (2 schema),✓,✓,Good,Tổng quan các cấp học
10,/he-thong-pdr,src/pages/he-thong-pdr.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Hệ thống Phẩm chất - Đạo đức - Ren luyện
11,/hoc-phi,src/pages/hoc-phi.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Thông tin học phí
12,/lien-he,src/pages/lien-he.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓ (ContactPage),✓,✓,Good,6 FAQ - form liên hệ
13,/ngoai-khoa,src/pages/ngoai-khoa.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Hoạt động ngoại khóa
14,/phu-huynh,src/pages/phu-huynh.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Trang phụ huynh
15,/thanh-tich,src/pages/thanh-tich.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Thành tích học sinh
16,/trung-hoc-co-so,src/pages/trung-hoc-co-so.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,THCS
17,/trung-hoc-pho-thong,src/pages/trung-hoc-pho-thong.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,THPT
18,/tin-tuc,src/pages/tin-tuc.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓ (CollectionPage),✓,✓ (2 CTA),Good,"ĐÃ SỬA: thêm fallback 6 bài tĩnh + phần 'Tại sao theo dõi' + 2 FAQ mới"
19,/hinh-anh,src/pages/hinh-anh.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓ (ImageGallery),✓,✓ (2 CTA),Good,"ĐÃ SỬA: thêm 'Điểm nhấn cơ sở vật chất' 6 cards + 2 FAQ mới"
20,/homepage1,src/pages/homepage1.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓ (6 CTA),Good,noindex=true - variant homepage
21,/homepage2,src/pages/homepage2.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓,✓,✓ (4 CTA),Good,noindex=true - variant homepage
22,/homepage2-stt-2,src/pages/homepage2-stt-2.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,noindex=true - variant homepage
23,/blog/[slug],src/pages/blog/[slug].astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,552+ bài từ Directus CMS
24,/samples/vinschool-homepage,src/pages/samples/vinschool-homepage.astro,BaseLayout,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Template mẫu
25,/squeeze/checklist-chon-truong,src/pages/squeeze/checklist-chon-truong.astro,SqueezePageLayout,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Squeeze page - checklist
26,/squeeze/ebook-lo-trinh-lop-10,src/pages/squeeze/ebook-lo-trinh-lop-10.astro,SqueezePageLayout,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Squeeze page - ebook
27,/squeeze/hoc-thu-mien-phi,src/pages/squeeze/hoc-thu-mien-phi.astro,SqueezePageLayout,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Squeeze page - học thử
28,/squeeze/test-nang-luc,src/pages/squeeze/test-nang-luc.astro,SqueezePageLayout,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Squeeze page - test năng lực
29,/squeeze/webinar-phu-huynh,src/pages/squeeze/webinar-phu-huynh.astro,SqueezePageLayout,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Squeeze page - webinar
30,/tuyen-sinh/mam-non,src/pages/tuyen-sinh/mam-non/index.astro,SqueezePageLayout,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Funnel mầm non chính
31,/tuyen-sinh/mam-non/cau-chuyen-phu-huynh,src/pages/tuyen-sinh/mam-non/cau-chuyen-phu-huynh/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Câu chuyện phụ huynh mầm non
32,/tuyen-sinh/mam-non/chuong-trinh,src/pages/tuyen-sinh/mam-non/chuong-trinh/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Chương trình mầm non
33,/tuyen-sinh/mam-non/co-so,src/pages/tuyen-sinh/mam-non/co-so/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Cơ sở mầm non
34,/tuyen-sinh/mam-non/gioi-thieu,src/pages/tuyen-sinh/mam-non/gioi-thieu/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Giới thiệu mầm non
35,/tuyen-sinh/mam-non/nhap-hoc-2026,src/pages/tuyen-sinh/mam-non/nhap-hoc-2026/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Nhập học 2026 mầm non
36,/tuyen-sinh/mam-non/so-sanh,src/pages/tuyen-sinh/mam-non/so-sanh/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,So sánh trường mầm non
37,/tuyen-sinh/mam-non/tu-van,src/pages/tuyen-sinh/mam-non/tu-van/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Tư vấn mầm non
38,/tuyen-sinh/mam-non/webinar,src/pages/tuyen-sinh/mam-non/webinar/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Webinar mầm non
39,/tuyen-sinh/tieu-hoc,src/pages/tuyen-sinh/tieu-hoc/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Funnel tiểu học chính
40,/tuyen-sinh/tieu-hoc/checklist,src/pages/tuyen-sinh/tieu-hoc/checklist/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Checklist tiểu học
41,/tuyen-sinh/tieu-hoc/chuong-trinh,src/pages/tuyen-sinh/tieu-hoc/chuong-trinh/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Chương trình tiểu học
42,/tuyen-sinh/tieu-hoc/dang-ky-som,src/pages/tuyen-sinh/tieu-hoc/dang-ky-som/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Đăng ký sớm tiểu học
43,/tuyen-sinh/tieu-hoc/so-sanh,src/pages/tuyen-sinh/tieu-hoc/so-sanh/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,So sánh trường tiểu học
44,/tuyen-sinh/tieu-hoc/tham-quan-truong,src/pages/tuyen-sinh/tieu-hoc/tham-quan-truong/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Tham quan trường tiểu học
45,/tuyen-sinh/thcs,src/pages/tuyen-sinh/thcs/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Funnel THCS chính
