ma_lop,url_qr,nhom_zalo,ten_nhom,link_zalo
1OIC,"https://truongvietanh.com/ketnoi/?lop=1OIC",2627_ph_gv_tih,"Tiểu học — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_gv_tih"
2OIC,"https://truongvietanh.com/ketnoi/?lop=2OIC",2627_ph_gv_tih,"Tiểu học — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_gv_tih"
3OIC,"https://truongvietanh.com/ketnoi/?lop=3OIC",2627_ph_gv_tih,"Tiểu học — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_gv_tih"
4OIC,"https://truongvietanh.com/ketnoi/?lop=4OIC",2627_ph_gv_tih,"Tiểu học — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_gv_tih"
5A,"https://truongvietanh.com/ketnoi/?lop=5A",2627_ph_gv_tih,"Tiểu học — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_gv_tih"
1BT,"https://truongvietanh.com/ketnoi/?lop=1BT",2627_ph_bt_tih,"Tiểu học — Cơ sở Bình Tân","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_bt_tih"
2BT,"https://truongvietanh.com/ketnoi/?lop=2BT",2627_ph_bt_tih,"Tiểu học — Cơ sở Bình Tân","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_bt_tih"
3BT,"https://truongvietanh.com/ketnoi/?lop=3BT",2627_ph_bt_tih,"Tiểu học — Cơ sở Bình Tân","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_bt_tih"
4BT,"https://truongvietanh.com/ketnoi/?lop=4BT",2627_ph_bt_tih,"Tiểu học — Cơ sở Bình Tân","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_bt_tih"
5BT,"https://truongvietanh.com/ketnoi/?lop=5BT",2627_ph_bt_tih,"Tiểu học — Cơ sở Bình Tân","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_bt_tih"
6A2,"https://truongvietanh.com/ketnoi/?lop=6A2",2627_ph_gv_67,"THCS khối 6–7 — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_gv_67"
6B2,"https://truongvietanh.com/ketnoi/?lop=6B2",2627_ph_gv_67,"THCS khối 6–7 — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_gv_67"
7A2,"https://truongvietanh.com/ketnoi/?lop=7A2",2627_ph_gv_67,"THCS khối 6–7 — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_gv_67"
7B2,"https://truongvietanh.com/ketnoi/?lop=7B2",2627_ph_gv_67,"THCS khối 6–7 — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_gv_67"
8A2,"https://truongvietanh.com/ketnoi/?lop=8A2",2627_ph_gv_89,"THCS khối 8–9 — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_gv_89"
8B2,"https://truongvietanh.com/ketnoi/?lop=8B2",2627_ph_gv_89,"THCS khối 8–9 — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_gv_89"
8C2,"https://truongvietanh.com/ketnoi/?lop=8C2",2627_ph_gv_89,"THCS khối 8–9 — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_gv_89"
9A2,"https://truongvietanh.com/ketnoi/?lop=9A2",2627_ph_gv_89,"THCS khối 8–9 — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_gv_89"
9B2,"https://truongvietanh.com/ketnoi/?lop=9B2",2627_ph_gv_89,"THCS khối 8–9 — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_gv_89"
6BT,"https://truongvietanh.com/ketnoi/?lop=6BT",2627_ph_bt_thcs,"THCS — Cơ sở Bình Tân","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_bt_thcs"
7BT,"https://truongvietanh.com/ketnoi/?lop=7BT",2627_ph_bt_thcs,"THCS — Cơ sở Bình Tân","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_bt_thcs"
8BT,"https://truongvietanh.com/ketnoi/?lop=8BT",2627_ph_bt_thcs,"THCS — Cơ sở Bình Tân","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_bt_thcs"
9BT,"https://truongvietanh.com/ketnoi/?lop=9BT",2627_ph_bt_thcs,"THCS — Cơ sở Bình Tân","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_bt_thcs"
10A2,"https://truongvietanh.com/ketnoi/?lop=10A2",gv-thpt-10–11,"THPT khối 10–11 — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=gv-thpt-10%E2%80%9311"
10B2,"https://truongvietanh.com/ketnoi/?lop=10B2",gv-thpt-10–11,"THPT khối 10–11 — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=gv-thpt-10%E2%80%9311"
10C2,"https://truongvietanh.com/ketnoi/?lop=10C2",gv-thpt-10–11,"THPT khối 10–11 — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=gv-thpt-10%E2%80%9311"
11A2,"https://truongvietanh.com/ketnoi/?lop=11A2",gv-thpt-10–11,"THPT khối 10–11 — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=gv-thpt-10%E2%80%9311"
12A2,"https://truongvietanh.com/ketnoi/?lop=12A2",2627_ph_gv_12,"THPT khối 12 — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_gv_12"
12B2,"https://truongvietanh.com/ketnoi/?lop=12B2",2627_ph_gv_12,"THPT khối 12 — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_gv_12"
12C2,"https://truongvietanh.com/ketnoi/?lop=12C2",2627_ph_gv_12,"THPT khối 12 — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_gv_12"
12D2,"https://truongvietanh.com/ketnoi/?lop=12D2",2627_ph_gv_12,"THPT khối 12 — Cơ sở Gò Vấp","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_gv_12"
10BT,"https://truongvietanh.com/ketnoi/?lop=10BT",2627_ph_bt_thpt,"THPT — Cơ sở Bình Tân","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_bt_thpt"
11BT,"https://truongvietanh.com/ketnoi/?lop=11BT",2627_ph_bt_thpt,"THPT — Cơ sở Bình Tân","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_bt_thpt"
12TN,"https://truongvietanh.com/ketnoi/?lop=12TN",2627_ph_bt_thpt,"THPT — Cơ sở Bình Tân","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_bt_thpt"
12XH,"https://truongvietanh.com/ketnoi/?lop=12XH",2627_ph_bt_thpt,"THPT — Cơ sở Bình Tân","https://chatbot.zalo.me/ref/1678310120468101523?id=2627_ph_bt_thpt"
